Date : 2023-07-02 17:06:12
Directory : c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src
Total : 258 files,  5679 codes, 126 comments, 1242 blanks, all 7047 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\logged-in\User\mails\mail-list\mail (Files)                                                                                                                                                 |          4 |         85 |          3 |         16 |        104 |
| app\logged-in\User\mails\mail-list\mail\mail-create-dialog                                                                                                                                      |          4 |         68 |          0 |         12 |         80 |
| app\logged-in\User\mails\mail-list\mail\mail-delete-dialog                                                                                                                                      |          4 |         46 |          0 |         12 |         58 |
| app\logged-in\User\mails\mail-list\mail\mail-update-dialog                                                                                                                                      |          4 |         68 |          0 |         12 |         80 |
| app\logged-in\User\reports                                                                                                                                                                      |          4 |        133 |          6 |         23 |        162 |
| app\logged-in\header                                                                                                                                                                            |          6 |        103 |          0 |         21 |        124 |
| app\logged-in\my-profile                                                                                                                                                                        |          6 |        201 |          0 |         39 |        240 |
| app\logged-in\report-notifications                                                                                                                                                              |          4 |        105 |          0 |         15 |        120 |
| app\page-not-found                                                                                                                                                                              |          4 |         26 |          0 |         10 |         36 |
| app\presentation                                                                                                                                                                                |         52 |      1,192 |         35 |        270 |      1,497 |
| app\presentation (Files)                                                                                                                                                                        |          4 |         45 |          0 |         19 |         64 |
| app\presentation\about                                                                                                                                                                          |          4 |         32 |         11 |         14 |         57 |
| app\presentation\home                                                                                                                                                                           |          4 |         32 |         11 |         13 |         56 |
| app\presentation\login                                                                                                                                                                          |         10 |        321 |          8 |         74 |        403 |
| app\presentation\login (Files)                                                                                                                                                                  |          6 |        273 |          8 |         61 |        342 |
| app\presentation\login\forgot-password-dialog                                                                                                                                                   |          4 |         48 |          0 |         13 |         61 |
| app\presentation\presentation-choices                                                                                                                                                           |          4 |        132 |          0 |         24 |        156 |
| app\presentation\presentation-content                                                                                                                                                           |          4 |         60 |          0 |         20 |         80 |
| app\presentation\presentation-footer                                                                                                                                                            |          4 |         88 |          0 |         19 |        107 |
| app\presentation\presentation-front                                                                                                                                                             |          4 |         51 |          0 |         15 |         66 |
| app\presentation\presentation-header                                                                                                                                                            |          4 |         48 |          0 |         10 |         58 |
| app\presentation\register                                                                                                                                                                       |          6 |        278 |          5 |         44 |        327 |
| app\presentation\reset-password                                                                                                                                                                 |          4 |        105 |          0 |         18 |        123 |
| app\services                                                                                                                                                                                    |         18 |        485 |          1 |        139 |        625 |
| app\services (Files)                                                                                                                                                                            |          6 |        154 |          1 |         40 |        195 |
| app\services\Food                                                                                                                                                                               |          2 |         72 |          0 |         21 |         93 |
| app\services\Glucose                                                                                                                                                                            |          2 |         67 |          0 |         17 |         84 |
| app\services\Mails                                                                                                                                                                              |          2 |         68 |          0 |         22 |         90 |
| app\services\MyApplicationExceptions                                                                                                                                                            |          2 |         28 |          0 |         10 |         38 |
| app\services\Reports                                                                                                                                                                            |          2 |         33 |          0 |         11 |         44 |
| app\services\Users                                                                                                                                                                              |          2 |         63 |          0 |         18 |         81 |
| app\shared                                                                                                                                                                                      |          9 |         94 |          0 |         33 |        127 |
| app\shared (Files)                                                                                                                                                                              |          3 |         32 |          0 |         11 |         43 |
| app\shared\Date                                                                                                                                                                                 |          2 |         26 |          0 |         11 |         37 |
| app\shared\snack-bar                                                                                                                                                                            |          4 |         36 |          0 |         11 |         47 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\Interceptors\custom-http.interceptor.spec.ts                                                                                          | TypeScript |         13 |          0 |          4 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\Interceptors\custom-http.interceptor.ts                                                                                               | TypeScript |         30 |          0 |          6 |         36 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\RouteGuards\redirect-to-login.service.spec.ts                                                                                         | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\RouteGuards\redirect-to-login.service.ts                                                                                              | TypeScript |         14 |          0 |          5 |         19 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app-routing.module.ts                                                                                                                 | TypeScript |         60 |          0 |          3 |         63 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.css                                                                                                                     | PostCSS    |         32 |         16 |          9 |         57 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.html                                                                                                                    | HTML       |          3 |          0 |          3 |          6 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.spec.ts                                                                                                                 | TypeScript |         25 |          0 |          5 |         30 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.ts                                                                                                                      | TypeScript |         21 |          1 |          7 |         29 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.module.ts                                                                                                                         | TypeScript |        179 |          0 |          4 |        183 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.css                                                                                           | PostCSS    |         15 |          0 |          2 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.html                                                                                          | HTML       |         41 |          5 |         10 |         56 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.spec.ts                                                                                       | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.ts                                                                                            | TypeScript |         68 |          1 |         15 |         84 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.css                                                           | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.html                                                          | HTML       |          9 |          0 |          1 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.spec.ts                                                       | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.ts                                                            | TypeScript |         19 |          0 |          5 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.css                                                           | PostCSS    |          0 |          0 |          2 |          2 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.html                                                          | HTML       |         30 |          0 |          1 |         31 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.spec.ts                                                       | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.ts                                                            | TypeScript |         20 |          0 |          4 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.css                                                                                             | PostCSS    |          4 |          0 |          1 |          5 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.html                                                                                            | HTML       |         58 |          8 |         13 |         79 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.spec.ts                                                                                         | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.ts                                                                                              | TypeScript |        119 |          1 |         25 |        145 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.css                                                                                 | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.html                                                                                | HTML       |         15 |          0 |          1 |         16 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.spec.ts                                                                             | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.ts                                                                                  | TypeScript |         43 |          0 |          9 |         52 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.css                                                                             | PostCSS    |         29 |          0 |          5 |         34 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.html                                                                            | HTML       |         19 |          0 |          1 |         20 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.spec.ts                                                                         | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.ts                                                                              | TypeScript |         48 |          0 |          9 |         57 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.css                                                                                 | PostCSS    |         59 |          0 |         16 |         75 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.html                                                                                | HTML       |         24 |          0 |          3 |         27 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.spec.ts                                                                             | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.ts                                                                                  | TypeScript |         33 |          0 |          7 |         40 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-dto.spec.ts                                                                                                  | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-dto.ts                                                                                                       | TypeScript |         15 |          0 |          3 |         18 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.css                                                       | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.html                                                      | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.spec.ts                                                   | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.ts                                                        | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record-list.component.css                                                                   | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record-list.component.html                                                                  | HTML       |          5 |          0 |          1 |          6 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record-list.component.spec.ts                                                               | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record-list.component.ts                                                                    | TypeScript |         37 |          0 |          7 |         44 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-create-dialog\food-record-create-dialog.component.css                    | PostCSS    |         13 |          0 |          6 |         19 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-create-dialog\food-record-create-dialog.component.html                   | HTML       |        120 |          0 |         11 |        131 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-create-dialog\food-record-create-dialog.component.spec.ts                | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-create-dialog\food-record-create-dialog.component.ts                     | TypeScript |        106 |          0 |         19 |        125 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-delete-dialog\food-record-delete-dialog.component.css                    | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-delete-dialog\food-record-delete-dialog.component.html                   | HTML       |          9 |          0 |          1 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-delete-dialog\food-record-delete-dialog.component.spec.ts                | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-delete-dialog\food-record-delete-dialog.component.ts                     | TypeScript |         19 |          0 |          4 |         23 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-update-dialog\food-record-update-dialog.component.css                    | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-update-dialog\food-record-update-dialog.component.html                   | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-update-dialog\food-record-update-dialog.component.spec.ts                | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record-update-dialog\food-record-update-dialog.component.ts                     | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record.component.css                                                            | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record.component.html                                                           | HTML       |        109 |          0 |          5 |        114 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record.component.spec.ts                                                        | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list\food-record\food-record.component.ts                                                             | TypeScript |        134 |          0 |         18 |        152 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food.component.css                                                                                                | PostCSS    |          0 |         11 |          1 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food.component.html                                                                                               | HTML       |         12 |          0 |          1 |         13 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food.component.spec.ts                                                                                            | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food.component.ts                                                                                                 | TypeScript |         33 |          0 |         11 |         44 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\meal-dto.spec.ts                                                                                                  | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\meal-dto.ts                                                                                                       | TypeScript |         15 |          0 |          3 |         18 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\nutrient.spec.ts                                                                                                  | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\nutrient.ts                                                                                                       | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\create-glucose-record-request.spec.ts                                                                          | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\create-glucose-record-request.ts                                                                               | TypeScript |          7 |          0 |          3 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-analysis.component.css                                                                | PostCSS    |         11 |          3 |          3 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-analysis.component.html                                                               | HTML       |         27 |          0 |          5 |         32 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-analysis.component.spec.ts                                                            | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-analysis.component.ts                                                                 | TypeScript |         62 |          0 |         11 |         73 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-records-for-bar-chart.spec.ts                                                         | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-records-for-bar-chart.ts                                                              | TypeScript |          8 |          0 |          2 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-records-for-line-chart.spec.ts                                                        | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-analysis\glucose-records-for-line-chart.ts                                                             | TypeScript |          2 |          0 |          1 |          3 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-days\glucose-days.component.css                                                                        | PostCSS    |         59 |          0 |         16 |         75 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-days\glucose-days.component.html                                                                       | HTML       |         24 |          0 |          3 |         27 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-days\glucose-days.component.spec.ts                                                                    | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-days\glucose-days.component.ts                                                                         | TypeScript |         33 |          0 |          8 |         41 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-dto.spec.ts                                                                                            | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-dto.ts                                                                                                 | TypeScript |         12 |          0 |          2 |         14 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list-start\glucose-record-list-start.component.css                                              | PostCSS    |          5 |          0 |          1 |          6 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list-start\glucose-record-list-start.component.html                                             | HTML       |          5 |          0 |          1 |          6 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list-start\glucose-record-list-start.component.spec.ts                                          | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list-start\glucose-record-list-start.component.ts                                               | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record-list.component.css                                                          | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record-list.component.html                                                         | HTML       |          5 |          0 |          1 |          6 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record-list.component.spec.ts                                                      | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record-list.component.ts                                                           | TypeScript |         39 |          0 |          8 |         47 |
